ControlType.Pane | Claude
ControlType.Text |  (Feferman and Spector, 1962). Completeness says
ControlType.Text | there exists
ControlType.Text |  a notation a proving θ. It does not say a single coherent route through O collects everything. Feferman and Spector showed there are
ControlType.Text | paths
ControlType.Text |  through O — linearly ordered, cofinal chains of notations — along which the progression fails to be complete even for Π⁰₁ truths. So you cannot replace the existential "some notation works" with a uniform "follow this path and you'll get everything." The non-uniformity is intrinsic.
ControlType.Text | 6. The predicativity program: autonomous progressions and Γ₀.
ControlType.Text | This is where Turing's curiosity became a measuring instrument. In
ControlType.Text | Systems of Predicative Analysis
ControlType.Text |  (1964), Feferman — and Schütte independently (1964/65), building on Kreisel — added an
ControlType.Text | autonomy condition
ControlType.Text |  to the progression. You iterate systems of ramified analysis RA_α, but you are licensed to advance to a notation for α only once you have already
ControlType.Text | proved
ControlType.Text | , at an earlier autonomous stage, that the recursive ordering coded by that notation is a well-ordering. The system bootstraps: provable well-orderings unlock taller systems, which prove longer well-orderings, and so on, and the process self-limits. Feferman and Schütte determined the limit of predicativity as the least ordinal that cannot be proved well-ordered within an autonomous progression of ramified analysis — the ordinal Γ₀, the Feferman–Schütte ordinal.
ControlType.Hyperlink | arxiv
ControlType.Text | Γ₀ has a clean intrinsic description via the Veblen functions: set φ₀(β) = ω^β, let φ_{α+1} enumerate the fixed points of φ_α, and take common fixed points at limits. Then Γ₀ is the smallest ordinal not obtainable from 0 by ordinal addition and the Veblen functions φ_α(β) — equivalently the least α with φ_α(0) = α,
ControlType.Text |  the least
ControlType.Text | strongly critical
ControlType.Text |  ordinal. ε₀ = φ₁(0) sits far below it. The modern landmark that pins this down precisely is reverse mathematics: Γ₀ is the proof-theoretic ordinal of ATR₀
ControlType.Text |  (arithmetical transfinite recursion), a system Friedman isolated whose strength is exactly Γ₀ and which is equivalent over a weak base to several standard theorems of ordinary mathematics.
ControlType.Hyperlink | HandWiki + 2
ControlType.Text | One honest caveat, since you'll want the real epistemic status: the identification of Γ₀ with "the limit of predicativity" is the standard textbook position but it is
ControlType.Text | contested
ControlType.Text | . Nik Weaver has argued comprehensively that predicative reasoning extends well beyond Γ₀,
ControlType.Text |  and others have pushed similar objections. The mathematical fact — that the autonomous ramified progression closes at Γ₀ — is not in dispute; what's disputed is whether autonomous progressions correctly capture the
ControlType.Text | informal
ControlType.Text |  notion of predicative provability. Feferman himself returned to the question repeatedly over his career, producing later systems (the unfolding program, Ref*(PA(P)), and others) that reach the same Γ₀ without invoking ordinals or autonomy in their description — partly in response to exactly this kind of foundational worry.
ControlType.Hyperlink | arxiv
ControlType.Text | If you want the primary sources in order: Feferman 1960 (
ControlType.Text | Fund. Math.
ControlType.Text |  49) for the arithmetization machinery, Feferman 1962b (
ControlType.Text | JSL
ControlType.Text |  27) for the completeness theorem, Feferman–Spector 1962 (
ControlType.Text | JSL
ControlType.Text |  27) for incompleteness along paths, and Feferman 1964 (
ControlType.Text | JSL
ControlType.Text |  29) for predicative analysis. The Stanford Encyclopedia's proof-theory appendix B gives the cleanest modern statement of the Turing/Feferman completeness theorems with the construction spelled out.
ControlType.Group | Message actions
ControlType.Button | Copy
ControlType.Button | Read aloud
ControlType.Button | Give positive feedback
ControlType.Button | Give negative feedback
ControlType.Button | Retry
ControlType.Button | Scroll to bottom
ControlType.Text | Claude Fable 5 is currently unavailable.
ControlType.Hyperlink | Learn more (opens in new tab)
ControlType.Button | Dismiss
ControlType.Edit | Write your prompt to Claude
ControlType.Text | Write a message…
ControlType.Text |
ControlType.Button | Add files, connectors, and more
ControlType.Button | Model: Opus 4.8 High
ControlType.Text | Opus 4.8
ControlType.Text |  High
ControlType.Button | Settings
ControlType.Button | Press and hold to record
ControlType.Button | Use voice mode
ControlType.Hyperlink | Claude is AI and can make mistakes. Please double-check cited sources.
ControlType.Group | Notifications (F8)
